ChEMBL ID,Smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL4450911,C[C@H](CS)C(=O)N[C@H](B(O)O)c1ccc2ccccc2c1,11.943623551272362,-1.6646022297808012,11.943623551272362,0.25346424372218035,0.500546685046284,303.19200000000006,285.048,303.110044836,110,0,0.4797610738604133,-0.4255121888429974,0.4797610738604133,0.4255121888429974,1.2380952380952381,1.9047619047619047,2.5238095238095237,32.11686741363053,9.742731640132265,2.2802325583686494,-2.2028184440214864,2.212585485918446,-2.413784164988247,7.797965018529975,-0.12382049166163321,2.2941945288653507,635.0997688302225,15.405412915006313,11.730498550046546,12.624925741046463,10.024075805453153,6.787091128416564,7.419546660450239,5.0900814609496186,5.45522983261973,3.4499874264888546,3.9977099839940213,2.1096806474699403,2.2755033396374618,-1.495064935064935,53051.482949009995,15.885571481749706,6.978602498620704,3.7827883689117425,129.28530069115433,15.364833754138338,0.0,0.0,5.907179729351506,0.0,7.118392334224363,4.794537184071822,0.0,12.628789148012991,0.0,43.321939610460284,22.402266989088197,11.670759652908181,5.941192597865798,14.84258233420383,36.42680964051845,0.0,5.316788604006331,5.917906046161393,12.864929797556421,5.752853606746789,48.02802097092827,0.0,0.0,5.316788604006331,0.0,0.0,12.628789148012991,28.826470820454663,4.794537184071822,5.917906046161393,18.428381289253416,42.46456947923127,0.0,10.772448428929591,0.0,69.56,13.05958493209016,14.84258233420383,0.0,11.8250857755129,11.316305098443785,10.772448428929591,0.0,12.990104268152233,36.39820241076966,17.94557775201932,0.0,0.0,4.078957024261257,11.943623551272362,23.827139672741524,0.6559391534391537,-1.0061315280371927,13.31434017662944,0.0,1.7396230683631477,-1.6646022297808012,0.26666666666666666,21,3,4,0,0,0,2,0,2,4,4,6,5,0,0,0,2,1.575,88.04030000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4444926,C[C@H](CS)C(=O)N[C@@H](B(O)O)c1ccc2ccccc2c1,11.943623551272362,-1.6646022297808012,11.943623551272362,0.25346424372218035,0.500546685046284,303.19200000000006,285.048,303.110044836,110,0,0.4797610738604133,-0.4255121888429974,0.4797610738604133,0.4255121888429974,1.2380952380952381,1.9047619047619047,2.5238095238095237,32.11686741363053,9.742731640132265,2.2802325583686494,-2.2028184440214864,2.212585485918446,-2.413784164988247,7.797965018529975,-0.12382049166163321,2.2941945288653507,635.0997688302225,15.405412915006313,11.730498550046546,12.624925741046463,10.024075805453153,6.787091128416564,7.419546660450239,5.0900814609496186,5.45522983261973,3.4499874264888546,3.9977099839940213,2.1096806474699403,2.2755033396374618,-1.495064935064935,53051.482949009995,15.885571481749706,6.978602498620704,3.7827883689117425,129.28530069115433,15.364833754138338,0.0,0.0,5.907179729351506,0.0,7.118392334224363,4.794537184071822,0.0,12.628789148012991,0.0,43.321939610460284,22.402266989088197,11.670759652908181,5.941192597865798,14.84258233420383,36.42680964051845,0.0,5.316788604006331,5.917906046161393,12.864929797556421,5.752853606746789,48.02802097092827,0.0,0.0,5.316788604006331,0.0,0.0,12.628789148012991,28.826470820454663,4.794537184071822,5.917906046161393,18.428381289253416,42.46456947923127,0.0,10.772448428929591,0.0,69.56,13.05958493209016,14.84258233420383,0.0,11.8250857755129,11.316305098443785,10.772448428929591,0.0,12.990104268152233,36.39820241076966,17.94557775201932,0.0,0.0,4.078957024261257,11.943623551272362,23.827139672741524,0.6559391534391537,-1.0061315280371927,13.31434017662944,0.0,1.7396230683631477,-1.6646022297808012,0.26666666666666666,21,3,4,0,0,0,2,0,2,4,4,6,5,0,0,0,2,1.575,88.04030000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4439726,C[C@H](CS)C(=O)N[C@@H](Cc1coc2ccccc12)B(O)O,11.875348088309398,-1.6437688964474682,11.875348088309398,0.25379587637524126,0.4745872626593373,307.18,289.036,307.10495945599996,112,0,0.47530654592099486,-0.4640526636675495,0.47530654592099486,0.4640526636675495,1.4285714285714286,2.142857142857143,2.8095238095238093,32.11686743105871,9.753911716200527,2.276458434171499,-2.189678059972799,2.2171033109094638,-2.4913516036076673,7.797964535148353,-0.12376151999152382,2.1457229487829625,615.7947440311468,15.405412915006313,11.691153083317705,12.585580274317621,10.024075805453155,6.750685343388563,7.383140875422239,5.07353984761866,5.438688219288772,3.409981049978015,3.9577036074831806,2.066655587876075,2.2324782800435963,-1.4350649350649352,63123.40616136397,15.944488617322335,7.019724201795355,3.810160734124772,128.44457206962778,19.781984691191685,5.583020141642242,0.0,5.907179729351506,0.0,7.118392334224363,4.794537184071822,0.0,12.628789148012991,0.0,25.122838405075452,18.050640183084614,17.056983867372978,12.204355593504854,19.259733271257176,36.6236055676959,0.0,5.316788604006331,5.917906046161393,19.28575142048243,5.752853606746789,36.09208276118249,0.0,0.0,5.316788604006331,0.0,0.0,12.628789148012991,34.76766341832046,11.21535880699783,5.917906046161393,12.487188691387619,34.945782206538844,0.0,10.969244356107037,0.0,82.7,13.05958493209016,14.84258233420383,0.0,18.24590739843891,5.752853606746789,16.532695847804035,0.0,13.186900195329681,24.26546827384644,17.94557775201932,4.417150937053347,5.415065507684556,4.065691718138808,11.875348088309398,22.49813199868425,1.552091574284035,-0.942816697475338,7.481495902602955,1.8551127925450015,1.7325369005626943,-1.6437688964474682,0.35714285714285715,21,3,5,0,0,0,1,1,2,5,4,7,6,0,0,0,2,1.0379999999999998,85.05730000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4460127,C[C@H](CS)C(=O)N[C@H](Cc1coc2ccccc12)B(O)O,11.875348088309398,-1.6437688964474682,11.875348088309398,0.25379587637524126,0.4745872626593373,307.18,289.036,307.10495945599996,112,0,0.47530654592099486,-0.4640526636675495,0.47530654592099486,0.4640526636675495,1.4285714285714286,2.142857142857143,2.8095238095238093,32.11686743105871,9.753911716200527,2.276458434171499,-2.189678059972799,2.2171033109094638,-2.4913516036076673,7.797964535148353,-0.12376151999152382,2.1457229487829625,615.7947440311468,15.405412915006313,11.691153083317705,12.585580274317621,10.024075805453155,6.750685343388563,7.383140875422239,5.07353984761866,5.438688219288772,3.409981049978015,3.9577036074831806,2.066655587876075,2.2324782800435963,-1.4350649350649352,63123.40616136397,15.944488617322335,7.019724201795355,3.810160734124772,128.44457206962778,19.781984691191685,5.583020141642242,0.0,5.907179729351506,0.0,7.118392334224363,4.794537184071822,0.0,12.628789148012991,0.0,25.122838405075452,18.050640183084614,17.056983867372978,12.204355593504854,19.259733271257176,36.6236055676959,0.0,5.316788604006331,5.917906046161393,19.28575142048243,5.752853606746789,36.09208276118249,0.0,0.0,5.316788604006331,0.0,0.0,12.628789148012991,34.76766341832046,11.21535880699783,5.917906046161393,12.487188691387619,34.945782206538844,0.0,10.969244356107037,0.0,82.7,13.05958493209016,14.84258233420383,0.0,18.24590739843891,5.752853606746789,16.532695847804035,0.0,13.186900195329681,24.26546827384644,17.94557775201932,4.417150937053347,5.415065507684556,4.065691718138808,11.875348088309398,22.49813199868425,1.552091574284035,-0.942816697475338,7.481495902602955,1.8551127925450015,1.7325369005626943,-1.6437688964474682,0.35714285714285715,21,3,5,0,0,0,1,1,2,5,4,7,6,0,0,0,2,1.0379999999999998,85.05730000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL253224,CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,12.011730809607792,-1.0961945704207603,12.011730809607792,0.0661579834974495,0.5788708088556082,311.4030000000001,290.235,311.11912915199997,116,0,0.32604652209732227,-0.5079666451554685,0.5079666451554685,0.32604652209732227,1.2857142857142858,1.8571428571428572,2.3333333333333335,32.116997135921366,10.02055582470768,2.2564630596863005,-2.20404194413116,2.1492841053989244,-2.4626061880312258,7.814026105943683,-0.14135560284529963,2.718191270825501,488.9519139967954,15.991199352633217,12.113802814128078,13.008230005127993,9.845443010499071,6.838893739771847,7.355291519266169,5.100352673298438,5.656693960045572,3.4423300458790878,4.185799653769479,1.8065870385579348,2.0919411484858204,-1.69,33211.19129964662,17.361786639047125,7.925757564725811,5.301812853020709,129.33232270055578,15.529843393687743,11.791352662431866,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,12.628789148012991,0.0,32.40103015923048,23.61409167478161,6.4208216229260096,5.249938029982174,19.802129157825057,24.505274165316344,0.0,5.316788604006331,5.917906046161393,37.9808965043634,0.0,29.828919765543436,0.0,5.749511833283905,5.316788604006331,0.0,5.749511833283905,12.628789148012991,33.3813186661149,16.00989599106965,5.917906046161393,25.831747514004253,24.26546827384644,0.0,0.0,0.0,86.63000000000001,17.261084147081984,19.802129157825057,0.0,23.995419231722813,0.0,11.984273114623004,12.13273413692322,12.13273413692322,13.847474399381248,17.94557775201932,0.0,0.0,4.244640545552643,23.290952039766523,20.423124205983118,0.721994703745696,-1.2932633822072843,5.210839142241258,0.9440912214288839,3.8465104123780516,0.0,0.4666666666666667,21,3,5,0,0,0,1,0,1,4,4,6,7,0,0,0,1,1.8485999999999998,83.60630000000003,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL405232,CC(C)C[C@@H](N)P(=O)(O)C[C@@H](Cc1ccccc1)C(=O)O,12.321643361048121,-3.6875009054547743,12.321643361048121,0.19247814892205195,0.640262367553678,313.33400000000006,289.142,313.1442948779999,118,0,0.30689157632042824,-0.4810061653022356,0.4810061653022356,0.30689157632042824,1.2857142857142858,1.8571428571428572,2.3333333333333335,31.177674257435235,10.013850451774042,2.3386696880260107,-2.233430441534127,2.4770992425996683,-2.2848824920863837,7.582716882776429,-0.1405101630280152,2.781714940809697,503.654898295463,16.04360559544051,12.475610133693879,13.370037324693794,9.720051237716591,7.058670945860048,8.972672629058156,5.859978693227032,8.399665741998406,3.3872636911458276,5.598481675103318,2.22742310441006,4.166095569971363,-1.16,27000.709466412056,17.890403225806452,7.736279231074118,6.000223605430931,125.1820326087356,15.733606474755366,0.0,0.0,7.368827530443599,0.0,5.969305287951849,9.35958546900315,0.0,0.0,0.0,44.179309741689295,24.323000783710405,6.161910027467921,11.700835279851265,19.359524466596334,13.338132818395447,0.0,0.0,17.56947956948497,32.47204687892314,6.161910027467921,35.89528683400505,0.0,0.0,5.733667477162185,0.0,0.0,7.368827530443599,27.91408354670282,15.78040709192916,11.835812092322787,25.831747514004253,30.33183534230805,0.0,0.0,0.0,100.62000000000002,25.038968098246713,19.359524466596334,0.0,18.500637696555323,6.4208216229260096,5.563451491696996,0.0,0.0,44.179309741689295,0.0,5.733667477162185,12.321643361048121,0.0,21.449720647518266,9.288526392038298,6.623677931048963,-2.639518208262798,9.099100714876554,0.3528670634920634,3.830371892584194,-3.6875009054547743,0.5333333333333333,21,4,5,0,0,0,1,0,1,3,3,6,8,0,0,0,1,2.5312,83.39450000000004,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL258333,O=C(CS)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,11.30516494022724,-1.053454409414005,11.30516494022724,0.03102678208856746,0.7171904529799131,315.39400000000006,298.258,315.092914404,114,0,0.32604636879641274,-0.47970863393927027,0.47970863393927027,0.32604636879641274,1.0,1.5909090909090908,2.1363636363636362,32.116867376172124,10.00474298823905,2.191906029955013,-2.1388616657278425,2.192741791452675,-2.4241443815111867,7.8058168263434595,-0.14096414874360302,2.091429049385892,640.7134431991817,15.94938298937633,11.898640026196999,12.793067217196915,10.596555450524587,6.872839002639594,7.505294534673269,4.883524285341015,5.199752051357853,3.2778054522050644,3.565018780087063,2.1396354291007764,2.2309225220183047,-2.27,96821.31472120687,16.10660602667378,7.656944680226838,4.361821964926302,134.13541469683736,10.423315998847038,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,12.628789148012991,0.0,54.59730361615449,16.690354475090988,6.4208216229260096,5.752853606746789,14.69560176298435,24.505274165316344,0.0,5.316788604006331,0.0,12.462662452073971,5.752853606746789,60.160755107851486,0.0,11.126902983393991,5.316788604006331,0.0,0.0,12.628789148012991,28.77770684803881,16.00989599106965,0.0,5.563451491696996,54.59730361615449,0.0,11.126902983393991,0.0,66.4,17.918325846451317,14.69560176298435,0.0,12.1736752296728,0.0,16.690354475090988,0.0,0.0,54.59730361615449,17.94557775201932,0.0,0.0,3.833668645802438,22.509184179899435,11.617948839863974,3.022569837686631,-1.4764820780218568,16.641998676306294,0.24000078735197783,0.0,0.0,0.17647058823529413,22,2,4,0,0,0,2,0,2,3,3,5,6,0,0,0,2,2.3952999999999998,89.00150000000005,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL257727,C[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,11.636183458745757,-1.0560470020065973,11.636183458745757,0.2327785651297556,0.7140667301328801,329.42100000000005,310.269,329.108564468,120,0,0.326046519533563,-0.47970863309828954,0.47970863309828954,0.326046519533563,1.0434782608695652,1.608695652173913,2.130434782608696,32.11699606615642,10.003920233956752,2.214437801276493,-2.157790727175236,2.1934900637323915,-2.44390013510866,7.8134232766231095,-0.14118873594098016,2.088285129684672,668.4258703727342,16.81962647737941,12.768883514200077,13.663310705199994,10.96923425058676,7.327282139561081,7.843679919055404,5.342458306449273,6.117054975690758,3.4949130965828594,3.729421796795386,2.191985427409202,2.2665210266591957,-2.27,137571.3552468562,17.089683510700816,7.830920618790326,4.8582350627185,140.500356811234,10.423315998847038,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,12.628789148012991,0.0,54.59730361615449,23.61409167478161,6.4208216229260096,5.249938029982174,14.69560176298435,24.505274165316344,0.0,5.316788604006331,0.0,24.63633768174677,0.0,60.160755107851486,0.0,11.126902983393991,5.316788604006331,0.0,0.0,12.628789148012991,28.274791271274196,16.00989599106965,0.0,12.487188691387619,54.59730361615449,0.0,11.126902983393991,0.0,66.4,17.261084147081984,14.69560176298435,0.0,12.328001352277514,0.0,16.690354475090988,0.0,6.923737199690624,54.59730361615449,17.94557775201932,0.0,0.0,4.011137781604907,22.946873144374116,11.209819103089686,3.018032871793244,-1.4434182588962523,16.643815559773397,0.2327785651297556,1.6031834553533688,0.0,0.2222222222222222,23,2,4,0,0,0,2,0,2,3,3,5,6,0,0,0,2,2.7838000000000003,93.59650000000005,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4451026,O=C(N[C@@H](Cc1ccccc1)B(O)O)C(CS)Cc1ccccc1,12.501488882590074,-1.6190289325606797,12.501488882590074,0.21955168178382456,0.433906052712285,343.2570000000001,321.0810000000001,343.141344964,126,0,0.4753040574790278,-0.4257286741462677,0.4753040574790278,0.4257286741462677,0.9583333333333334,1.4583333333333333,1.9166666666666667,32.11686761135699,9.753236257067886,2.279265572398963,-2.214368949297499,2.1191005168727877,-2.4981702909652115,7.797990449536791,-0.12424427444651306,1.9987825253816252,624.6757039455842,17.363596551749424,13.37676291998852,14.271190110988435,11.596555450524585,7.950652150890106,8.583107682923782,5.78763688120512,6.152785252875232,3.9020880509222,4.342861126504418,2.538349597537311,2.8332717345784126,-1.7550649350649348,258104.91248196608,18.581693136326386,9.518814673197694,5.7076145473546145,148.0256724798797,15.364833754138338,0.0,0.0,5.907179729351506,0.0,7.118392334224363,4.794537184071822,0.0,12.628789148012991,0.0,60.6636706846161,23.96854622924601,5.752853606746789,11.859098644027192,14.84258233420383,25.65436121158886,0.0,5.316788604006331,5.917906046161393,18.782835843717816,5.752853606746789,71.7905736680101,0.0,0.0,5.316788604006331,0.0,0.0,12.628789148012991,34.76766341832046,17.63618042992384,5.917906046161393,11.126902983393991,60.6636706846161,0.0,0.0,0.0,69.56,13.05958493209016,14.84258233420383,0.0,11.8250857755129,18.59449685259881,11.126902983393991,0.0,0.0,60.6636706846161,17.94557775201932,0.0,0.0,4.2727895721513445,12.501488882590074,21.924976640373018,1.9835547740165351,-0.908307403208197,19.14548955557719,0.9212591332829427,0.0,-1.6190289325606797,0.2777777777777778,24,3,4,0,0,0,2,0,2,4,4,6,8,0,0,0,2,1.5146,99.7573,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL257726,CC[C@H](S)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,11.867433458745756,-1.048960834206144,11.867433458745756,0.23646337238599147,0.6766166474835648,343.44800000000004,322.28000000000003,343.124214532,126,0,0.3260465207441163,-0.47970863309506745,0.47970863309506745,0.3260465207441163,1.0416666666666667,1.625,2.1666666666666665,32.116996707212046,10.00339011089442,2.224817027805303,-2.1674863549725925,2.1941609163063207,-2.4486527256542825,7.813771111603626,-0.14124074545212745,2.070695178329372,685.5179051177647,17.526733258565955,13.475990295386625,14.370417486386541,11.507239053047547,7.865286942021867,8.381684721516189,5.590530903638149,6.213878165055422,3.8048181361039815,4.4044752079866205,2.3529730651240475,2.427508664374041,-2.27,239989.77566350493,18.074215623293703,8.54532042354979,4.862157575598351,146.86529892563058,10.423315998847038,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,12.628789148012991,0.0,61.52104081584511,23.111176098016994,6.4208216229260096,5.249938029982174,14.69560176298435,24.505274165316344,0.0,5.316788604006331,0.0,31.05715930467278,0.0,60.160755107851486,0.0,11.126902983393991,5.316788604006331,0.0,0.0,12.628789148012991,28.274791271274196,16.00989599106965,0.0,18.90801031431363,54.59730361615449,0.0,11.126902983393991,0.0,66.4,17.261084147081984,14.69560176298435,0.0,12.328001352277514,6.4208216229260096,16.690354475090988,0.0,0.0,61.52104081584511,17.94557775201932,0.0,0.0,4.143082226049351,23.26645222600677,11.384699110648263,3.0270912157460685,-1.4016098688735767,16.688680344883146,0.7851301589192865,1.8286968088429127,0.0,0.2631578947368421,24,2,4,0,0,0,2,0,2,3,3,5,7,0,0,0,2,3.1739000000000015,98.21350000000005,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
